cc_season,year,block,plot,treatment,num_spp,p_tri,p_can,p_clov,tri_stand_m2,can_stand_m2,clov_stand_m2,trit_biomass_g_m2,can_biomass_g_m2,clov_biomass_g_m2,weed_biomass_g_m2,can_flowers_m2,clov_flowers_m2,weed_seed_mortality,canola_presence
winter,2,1,101,14,3,30,15,55,29,48,46,2.72,187.97,1.56,0.00,18.00,3.00,0.054,1
winter,2,1,102,7,3,80,10,10,89,18,12,108.07,169.17,0.36,0.00,37.00,1.00,0.126,1
winter,2,1,103,4,2,50,0,50,48,0,79,357.14,0.00,0.00,0.01,0.00,0.00,0.117,0
winter,2,1,104,9,3,10,80,10,11,150,5,0.00,141.81,0.00,0.01,7.02,0.00,0.377,1
winter,2,1,105,2,1,0,0,100,0,0,148,0.00,0.00,426.52,1.33,0.00,337.00,0.396,0
winter,2,1,106,11,3,10,30,60,9,65,76,0.91,184.61,0.00,0.00,32.46,0.00,0.084,1
winter,2,1,107,1,1,100,0,0,105,1,0,239.06,0.00,0.00,0.00,0.00,0.00,0.672,0
winter,2,1,108,8,3,10,10,80,15,24,97,0.00,113.94,0.00,0.04,0.00,0.00,0.062,1
winter,2,1,109,6,2,50,50,0,65,119,0,0.00,219.42,0.00,0.00,26.00,0.00,0.175,1
winter,2,1,110,12,3,30,60,10,22,116,15,0.00,158.38,0.00,0.01,6.14,0.00,0.450,1
winter,2,1,111,15,3,15,55,30,19,115,32,0.00,78.93,0.00,0.00,3.00,0.00,0.152,1
winter,2,1,112,3,1,0,100,0,0,139,0,0.00,120.27,0.00,0.00,0.88,0.00,0.377,1
winter,2,1,113,13,3,55,30,15,59,55,16,0.00,105.24,0.00,0.00,0.00,0.00,0.346,1
winter,2,1,114,16,3,33.3,33.3,33.4,31,62,19,0.00,147.03,0.00,0.00,5.26,0.00,0.210,1
winter,2,1,115,5,2,0,50,50,0,95,32,0.00,112.61,0.00,0.00,2.00,0.00,0.040,1
winter,2,1,116,10,3,60,10,30,65,18,26,26.31,149.78,0.00,0.00,14.04,0.00,0.127,1
winter,2,1,117,17,0,0,0,0,0,0,0,0.00,0.00,0.00,41.36,0.00,0.00,0.153,0
winter,2,2,201,8,3,10,10,80,12,21,78,0.00,167.73,0.00,0.73,7.02,0.00,0.132,1
winter,2,2,202,13,3,55,30,15,63,63,19,2.49,103.71,0.00,0.00,0.00,0.00,0.057,1
winter,2,2,203,6,2,50,50,0,55,112,0,0.00,91.34,0.00,0.00,0.00,0.00,0.140,0
winter,2,2,204,12,3,30,60,10,27,107,9,0.00,120.80,0.00,0.00,2.00,0.00,0.241,1
winter,2,2,205,17,0,0,0,0,0,0,0,0.00,0.00,0.00,83.81,0.00,0.00,0.760,0
winter,2,2,206,1,1,100,0,0,114,2,0,178.74,1.15,0.00,0.00,0.00,0.00,0.370,0
winter,2,2,207,11,3,10,30,60,11,67,44,0.00,72.48,0.00,0.00,0.00,0.00,0.313,1
winter,2,2,208,9,3,10,80,10,8,167,5,0.00,115.73,0.00,0.00,0.00,0.00,0.098,1
winter,2,2,209,16,3,33.3,33.3,33.4,40,85,49,0.00,157.98,0.00,0.00,0.88,0.00,0.066,1
winter,2,2,210,15,3,15,55,30,17,94,19,0.00,201.57,0.00,0.18,24.00,0.00,0.077,1
winter,2,2,211,4,2,50,0,50,54,23,0,285.72,0.00,2.26,0.00,0.00,1.75,0.248,1
winter,2,2,212,10,3,60,10,30,69,16,5,36.04,184.30,0.00,0.11,17.00,0.00,0.178,1
winter,2,2,213,2,1,0,0,100,0,1,52,0.00,0.00,294.32,14.46,0.00,264.91,0.455,0
winter,2,2,214,3,1,0,100,0,0,190,0,0.00,83.91,0.00,0.00,2.00,0.00,NA,NA
winter,2,2,215,5,2,0,50,50,0,83,40,0.00,129.15,0.00,0.00,0.88,0.00,0.421,1
winter,2,2,216,14,3,30,15,55,44,35,79,0.00,131.69,0.00,0.00,3.00,0.00,0.126,1
winter,2,2,217,7,3,80,10,10,81,20,11,0.00,163.88,0.00,0.00,2.63,0.00,0.010,1
